,id,terrestrial_date,sol,ls,month,min_temp,pressure
1,2,2012-08-16,10,155,6,-75,739
2,13,2012-08-17,11,156,6,-76,740
3,24,2012-08-18,12,156,6,-76,741
4,35,2012-08-19,13,157,6,-74,732
5,46,2012-08-20,14,157,6,-74,740
6,57,2012-08-21,15,158,6,-78,740
7,68,2012-08-22,16,158,6,-77,740
8,79,2012-08-23,17,159,6,-76,742
9,112,2012-08-27,21,161,6,-74,741
10,114,2012-08-28,22,162,6,-74,742
11,123,2012-08-29,23,162,6,-75,741
12,134,2012-08-30,24,163,6,-75,742
13,145,2012-08-31,25,163,6,-75,743
14,156,2012-09-01,26,164,6,-76,745
15,163,2012-09-02,27,164,6,-75,743
16,170,2012-09-03,28,165,6,-75,745
17,171,2012-09-04,29,166,6,-75,747
18,172,2012-09-05,30,166,6,-74,747
19,173,2012-09-06,31,167,6,-74,745
20,175,2012-09-08,33,168,6,-73,748
21,176,2012-09-10,34,168,6,-73,748
22,177,2012-09-11,35,169,6,-73,749
23,178,2012-09-12,36,169,6,-73,750
24,179,2012-09-13,37,170,6,-73,750
25,180,2012-09-14,38,171,6,-73,750
26,181,2012-09-15,39,171,6,-75,751
27,182,2012-09-16,40,172,6,-75,753
28,183,2012-09-17,41,172,6,-75,753
29,184,2012-09-18,42,173,6,-75,754
30,185,2012-09-19,43,173,6,-74,756
31,186,2012-09-20,44,174,6,-75,757
32,187,2012-09-21,45,175,6,-74,758
33,188,2012-09-22,46,175,6,-74,758
34,189,2012-09-23,47,176,6,-75,758
35,190,2012-09-24,48,176,6,-75,759
36,191,2012-09-25,49,177,6,-74,761
37,192,2012-09-26,50,177,6,-72,761
38,193,2012-09-27,51,178,6,-76,762
39,194,2012-09-28,52,179,6,-74,762
40,195,2012-09-29,53,179,6,-71,764
41,196,2012-09-30,54,180,7,-72,766
42,197,2012-10-01,55,180,7,-74,766
43,198,2012-10-02,56,181,7,-73,768
44,199,2012-10-03,57,181,7,-73,769
45,200,2012-10-04,58,182,7,-74,769
46,201,2012-10-05,59,183,7,-76,771
47,202,2012-10-06,60,183,7,-75,772
48,203,2012-10-07,61,184,7,-72,772
49,204,2012-10-08,62,184,7,-72,774
50,205,2012-10-09,63,185,7,-73,775
51,206,2012-10-10,64,186,7,-74,776
52,207,2012-10-11,65,186,7,-72,777
53,208,2012-10-12,66,187,7,-73,778
54,209,2012-10-13,67,187,7,-73,780
55,210,2012-10-14,68,188,7,-71,781
56,211,2012-10-15,69,189,7,-73,778
57,212,2012-10-17,70,189,7,-72,783
58,213,2012-10-18,71,190,7,-71,784
59,214,2012-10-19,72,190,7,-73,785
60,215,2012-10-20,73,191,7,-70,788
61,216,2012-10-21,74,192,7,-72,790
62,217,2012-10-22,75,192,7,-73,791
63,218,2012-10-23,76,193,7,-73,792
64,219,2012-10-24,77,193,7,-71,792
65,220,2012-10-25,78,194,7,-71,793
66,221,2012-10-26,79,195,7,-73,795
67,222,2012-10-27,80,195,7,-70,796
68,223,2012-10-28,81,196,7,-72,798
69,224,2012-10-29,82,196,7,-72,799
70,225,2012-10-30,83,197,7,-72,801
71,226,2012-10-31,84,198,7,-70,801
72,227,2012-11-01,85,198,7,-71,805
73,228,2012-11-02,86,199,7,-71,808
74,229,2012-11-03,87,199,7,-70,808
75,230,2012-11-04,88,200,7,-70,811
76,231,2012-11-05,89,201,7,-73,813
77,233,2012-11-06,90,201,7,-71,813
78,234,2012-11-07,91,202,7,-74,817
79,235,2012-11-08,92,202,7,-74,820
80,236,2012-11-09,93,203,7,-72,819
81,237,2012-11-10,94,204,7,-70,822
82,238,2012-11-11,95,204,7,-68,822
83,239,2012-11-12,96,205,7,-71,826
84,240,2012-11-13,97,206,7,-68,828
85,241,2012-11-14,98,206,7,-68,828
86,242,2012-11-15,99,207,7,-68,829
87,3,2012-11-16,100,207,7,-66,829
88,4,2012-11-17,101,208,7,-65,830
89,5,2012-11-18,102,209,7,-67,833
90,6,2012-11-19,103,209,7,-66,836
91,7,2012-11-20,104,210,8,-67,838
92,8,2012-11-21,105,211,8,-66,839
93,9,2012-11-23,106,211,8,-66,841
94,10,2012-11-24,107,212,8,-66,844
95,11,2012-11-25,108,212,8,-65,845
96,12,2012-11-26,109,213,8,-64,844
97,14,2012-11-27,110,214,8,-65,848
98,15,2012-11-28,111,214,8,-66,849
99,16,2012-11-29,112,215,8,-65,852
100,17,2012-11-30,113,216,8,-66,857
101,18,2012-12-01,114,216,8,-69,857
102,19,2012-12-02,115,217,8,-66,857
103,20,2012-12-03,116,217,8,-67,859
104,21,2012-12-04,117,218,8,-66,861
105,22,2012-12-05,118,219,8,-65,864
106,23,2012-12-06,119,219,8,-66,866
107,25,2012-12-07,120,220,8,-67,867
108,26,2012-12-08,121,221,8,-66,869
109,27,2012-12-09,122,221,8,-65,869
110,28,2012-12-10,123,222,8,-66,875
111,29,2012-12-11,124,223,8,-66,876
112,30,2012-12-12,125,223,8,-68,880
113,31,2012-12-13,126,224,8,-66,880
114,32,2012-12-14,127,224,8,-67,884
115,33,2012-12-15,128,225,8,-67,883
116,34,2012-12-16,129,226,8,-65,886
117,36,2012-12-17,130,226,8,-65,888
118,37,2012-12-18,131,227,8,-65,889
119,38,2012-12-19,132,228,8,-65,890
120,39,2012-12-20,133,228,8,-65,891
121,40,2012-12-21,134,229,8,-67,893
122,41,2012-12-22,135,230,8,-65,894
123,42,2012-12-23,136,230,8,-65,897
124,43,2012-12-24,137,231,8,-64,896
125,44,2012-12-25,138,232,8,-65,899
126,45,2012-12-26,139,232,8,-66,899
127,47,2012-12-27,140,233,8,-66,903
128,48,2012-12-28,141,233,8,-64,904
129,49,2012-12-29,142,234,8,-65,906
130,50,2012-12-31,143,235,8,-63,908
131,51,2013-01-01,144,235,8,-64,907
132,52,2013-01-02,145,236,8,-64,909
133,53,2013-01-03,146,237,8,-65,908
134,54,2013-01-04,147,237,8,-65,914
135,55,2013-01-05,148,238,8,-65,912
136,56,2013-01-06,149,239,8,-65,914
137,58,2013-01-07,150,239,8,-64,913
138,59,2013-01-08,151,240,9,-65,915
139,60,2013-01-09,152,241,9,-63,914
140,61,2013-01-10,153,241,9,-65,915
141,62,2013-01-11,154,242,9,-65,917
142,63,2013-01-12,155,243,9,-64,917
143,64,2013-01-13,156,243,9,-65,922
144,65,2013-01-14,157,244,9,-64,920
145,66,2013-01-15,158,245,9,-66,922
146,67,2013-01-16,159,245,9,-65,918
147,69,2013-01-17,160,246,9,-67,919
148,70,2013-01-18,161,246,9,-65,919
149,71,2013-01-19,162,247,9,-65,919
150,72,2013-01-20,163,248,9,-65,919
151,73,2013-01-21,164,248,9,-64,919
152,74,2013-01-22,165,249,9,-65,922
153,75,2013-01-23,166,250,9,-65,922
154,76,2013-01-24,167,250,9,-65,920
155,77,2013-01-25,168,251,9,-66,923
156,78,2013-01-26,169,252,9,-66,922
157,80,2013-01-27,170,252,9,-66,925
158,81,2013-01-28,171,253,9,-67,925
159,82,2013-01-29,172,254,9,-67,923
160,83,2013-01-30,173,254,9,-67,920
161,84,2013-01-31,174,255,9,-67,921
162,85,2013-02-01,175,256,9,-68,921
163,86,2013-02-02,176,256,9,-67,920
164,87,2013-02-03,177,257,9,-66,921
165,88,2013-02-04,178,258,9,-66,920
166,89,2013-02-06,179,258,9,-66,920
167,91,2013-02-07,180,259,9,-67,919
168,92,2013-02-08,181,260,9,-67,918
169,93,2013-02-09,182,260,9,-67,921
170,94,2013-02-10,183,261,9,-67,921
